cik,ticker,name,cusip,isin,foreign_filer,source_indices,name_sec,match_source
0000001750,AIR,AAR CORP,,,0,IJR;IWV,AAR CORP,sec_auto
0000001800,ABT,ABBOTT LABORATORIES,,,0,IWV,ABBOTT LABORATORIES,sec_auto
0000002488,AMD,ADVANCED MICRO DEVICES INC,007903107,US0079031078,0,GAMR;IGV;IWV;SOXX;VGT;XLK,ADVANCED MICRO DEVICES INC,sec_auto
0000002969,APD,AIR PRODUCTS AND CHEMICALS INC,,,0,IWV,"Air Products & Chemicals, Inc.",sec_auto
0000003197,CECO,CECO ENVIRONMENTAL CORP,,,0,IWV,CECO ENVIRONMENTAL CORP,sec_auto
0000003453,MATX,MATSON INC,,,0,IJR;IWV,"Matson, Inc.",sec_auto
0000003499,ALX,ALEXANDERS REIT INC,,,0,IWV,ALEXANDERS INC,sec_auto
0000003570,LNG,CHENIERE ENERGY INC,,,0,IWV,"Cheniere Energy, Inc.",sec_auto
0000004127,SWKS,SKYWORKS SOLUTIONS INC,83088M102,US83088M1027,0,IGV;IWV;SOXX;VGT;XLK,"SKYWORKS SOLUTIONS, INC.",sec_auto
0000004281,HWM,HOWMET AEROSPACE INC,,,0,IWV,Howmet Aerospace Inc.,sec_auto
0000004457,UHAL,U HAUL HOLDING,,,0,IWV,U-Haul Holding Co /NV/,sec_auto
0000004904,AEP,AMERICAN ELECTRIC POWER INC,,,0,IWV,AMERICAN ELECTRIC POWER CO INC,sec_auto
0000004962,AXP,AMERICAN EXPRESS,,,0,IWV,AMERICAN EXPRESS CO,sec_auto
0000004977,AFL,AFLAC INC,,,0,IWV,AFLAC INC,sec_auto
0000005272,AIG,AMERICAN INTERNATIONAL GROUP INC,,,0,IWV,"AMERICAN INTERNATIONAL GROUP, INC.",sec_auto
0000005513,UNM,UNUM,,,0,IJH;IWV,Unum Group,sec_auto
0000005981,AVD,AMER VANGUARD CORP,,,0,IWV,AMERICAN VANGUARD CORP,sec_auto
0000006201,AAL,AMERICAN AIRLINES GROUP INC,,,0,IJH;IWV,American Airlines Group Inc.,sec_auto
0000006281,ADI,ANALOG DEVICES INC,032654105,US0326541051,0,IGV;IWV;SOXX;VGT;XLK,ANALOG DEVICES INC,sec_auto
0000006845,APOG,APOGEE ENTERPRISES INC,,,0,IJR;IWV,"APOGEE ENTERPRISES, INC.",sec_auto
0000006951,AMAT,APPLIED MATERIAL INC,038222105,US0382221051,0,IGV;IWV;SOXX;VGT;XLK,APPLIED MATERIALS INC /DE,sec_auto
0000006955,EPAC,ENERPAC TOOL GROUP CORP CLASS A,,,0,IJR;IWV,ENERPAC TOOL GROUP CORP,sec_auto
0000007084,ADM,ARCHER DANIELS MIDLAND,,,0,IWV,Archer-Daniels-Midland Co,sec_auto
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES INC,,,0,IJR;IWV,ARMSTRONG WORLD INDUSTRIES INC,sec_auto
0000007536,ARW,ARROW ELECTRONICS INC,042735100,US0427351004,0,IGV;IJH;IWV;VGT,"ARROW ELECTRONICS, INC.",sec_auto
0000007789,ASB,ASSOCIATED BANCORP,,,0,IJH;IWV,ASSOCIATED BANC-CORP,sec_auto
0000008063,ATRO,ASTRONICS CORP,,,0,IWV,ASTRONICS CORP,sec_auto
0000008670,ADP,AUTOMATIC DATA PROCESSING INC,,,0,IWV,AUTOMATIC DATA PROCESSING INC,sec_auto
0000008818,AVY,AVERY DENNISON CORP,,,0,IWV,Avery Dennison Corp,sec_auto
0000008858,AVT,AVNET INC,053807103,US0538071038,0,IGV;IJH;IWV;VGT,AVNET INC,sec_auto
0000008947,AZZ,AZZ INC,,,0,IJR;IWV,AZZ INC,sec_auto
0000009092,BMI,BADGER METER INC,056525108,US0565251081,0,IJR;IWV;VGT,BADGER METER INC,sec_auto
0000009326,BCPC,BALCHEM CORP,,,0,IJR;IWV,BALCHEM CORP,sec_auto
0000009389,BALL,BALL CORP,,,0,IWV,BALL Corp,sec_auto
0000010456,BAX,BAXTER INTERNATIONAL INC,,,0,IWV,BAXTER INTERNATIONAL INC,sec_auto
0000010795,BDX,BECTON DICKINSON,,,0,IWV,BECTON DICKINSON & CO,sec_auto
0000011544,WRB,WR BERKLEY CORP,,,0,IWV,BERKLEY W R CORP,sec_auto
0000012208,BIO,BIO RAD LABORATORIES INC CLASS A,,,0,IJH;IWV,"BIO-RAD LABORATORIES, INC.",sec_auto
