cik,ticker,name,cusip,isin,foreign_filer,source_indices,match_source,gics_sector,gics_industry_group,gics_sub_industry,sic,sic_description,market_cap_usd,employees,last_10k_date
0000001750,AIR,AAR CORP,,,0,IJR;IWV,sec_auto,,,,,,,,
0000001800,ABT,ABBOTT LABORATORIES,,,0,IWV,sec_auto,,,,,,,,
0000002488,AMD,ADVANCED MICRO DEVICES INC,007903107,US0079031078,0,GAMR;IGV;IWV;SOXX;VGT;XLK,sec_auto,,,,,,,,
0000002969,APD,AIR PRODUCTS AND CHEMICALS INC,,,0,IWV,sec_auto,,,,,,,,
0000003197,CECO,CECO ENVIRONMENTAL CORP,,,0,IWV,sec_auto,,,,,,,,
0000003453,MATX,MATSON INC,,,0,IJR;IWV,sec_auto,,,,,,,,
0000003499,ALX,ALEXANDERS REIT INC,,,0,IWV,sec_auto,,,,,,,,
0000003570,LNG,CHENIERE ENERGY INC,,,0,IWV,sec_auto,,,,,,,,
0000004127,SWKS,SKYWORKS SOLUTIONS INC,83088M102,US83088M1027,0,IGV;IWV;SOXX;VGT;XLK,sec_auto,,,,,,,,
0000004281,HWM,HOWMET AEROSPACE INC,,,0,IWV,sec_auto,,,,,,,,
0000004457,UHAL,U HAUL HOLDING,,,0,IWV,sec_auto,,,,,,,,
0000004904,AEP,AMERICAN ELECTRIC POWER INC,,,0,IWV,sec_auto,,,,,,,,
0000004962,AXP,AMERICAN EXPRESS,,,0,IWV,sec_auto,,,,,,,,
0000004977,AFL,AFLAC INC,,,0,IWV,sec_auto,,,,,,,,
0000005272,AIG,AMERICAN INTERNATIONAL GROUP INC,,,0,IWV,sec_auto,,,,,,,,
0000005513,UNM,UNUM,,,0,IJH;IWV,sec_auto,,,,,,,,
0000005981,AVD,AMER VANGUARD CORP,,,0,IWV,sec_auto,,,,,,,,
0000006201,AAL,AMERICAN AIRLINES GROUP INC,,,0,IJH;IWV,sec_auto,,,,,,,,
0000006281,ADI,ANALOG DEVICES INC,032654105,US0326541051,0,IGV;IWV;SOXX;VGT;XLK,sec_auto,,,,,,,,
0000006845,APOG,APOGEE ENTERPRISES INC,,,0,IJR;IWV,sec_auto,,,,,,,,
0000006951,AMAT,APPLIED MATERIAL INC,038222105,US0382221051,0,IGV;IWV;SOXX;VGT;XLK,sec_auto,,,,,,,,
0000006955,EPAC,ENERPAC TOOL GROUP CORP CLASS A,,,0,IJR;IWV,sec_auto,,,,,,,,
0000007084,ADM,ARCHER DANIELS MIDLAND,,,0,IWV,sec_auto,,,,,,,,
0000007431,AWI,ARMSTRONG WORLD INDUSTRIES INC,,,0,IJR;IWV,sec_auto,,,,,,,,
0000007536,ARW,ARROW ELECTRONICS INC,042735100,US0427351004,0,IGV;IJH;IWV;VGT,sec_auto,,,,,,,,
0000007789,ASB,ASSOCIATED BANCORP,,,0,IJH;IWV,sec_auto,,,,,,,,
0000008063,ATRO,ASTRONICS CORP,,,0,IWV,sec_auto,,,,,,,,
0000008670,ADP,AUTOMATIC DATA PROCESSING INC,,,0,IWV,sec_auto,,,,,,,,
0000008818,AVY,AVERY DENNISON CORP,,,0,IWV,sec_auto,,,,,,,,
0000008858,AVT,AVNET INC,053807103,US0538071038,0,IGV;IJH;IWV;VGT,sec_auto,,,,,,,,
0000008947,AZZ,AZZ INC,,,0,IJR;IWV,sec_auto,,,,,,,,
0000009092,BMI,BADGER METER INC,056525108,US0565251081,0,IJR;IWV;VGT,sec_auto,,,,,,,,
0000009326,BCPC,BALCHEM CORP,,,0,IJR;IWV,sec_auto,,,,,,,,
0000009389,BALL,BALL CORP,,,0,IWV,sec_auto,,,,,,,,
0000010456,BAX,BAXTER INTERNATIONAL INC,,,0,IWV,sec_auto,,,,,,,,
0000010795,BDX,BECTON DICKINSON,,,0,IWV,sec_auto,,,,,,,,
0000011544,WRB,WR BERKLEY CORP,,,0,IWV,sec_auto,,,,,,,,
0000012208,BIO,BIO RAD LABORATORIES INC CLASS A,,,0,IJH;IWV,sec_auto,,,,,,,,
0000012659,HRB,H&R BLOCK INC,,,0,IJH;IWV,sec_auto,,,,,,,,
0000012927,BA,BOEING,,,0,IWV,sec_auto,,,,,,,,
