cusip,isin,name,source_index,weight_pct,logged_at
20717M103,US20717M1036,Confluent Inc,VGT,0.151138634636,2026-05-12
68278B107,US68278B1070,Onestream Inc,VGT,0.031148014381,2026-05-12
725ESC016,US725ESC0166,Pivotal Software Inc,VGT,2.29e-09,2026-05-12
81686C104,US81686C1045,SEMrush Holdings Inc,VGT,0.010291445442,2026-05-12
N/A,AU0000185993,Iris Energy Ltd,VGT,0.000328749325,2026-05-12
G037AX101,KYG037AX1015,Ambarella Inc,VGT,0.047295609535,2026-05-12
G1144A105,KYG1144A1058,Bit Digital Inc,VGT,0.000219687773,2026-05-12
G1151C101,IE00B4BNMY34,Accenture PLC,VGT,0.7022504082,2026-05-12
G25457105,KYG254571055,Credo Technology Group Holding Ltd,VGT,0.138583436513,2026-05-12
G3323L100,KYG3323L1005,Fabrinet,VGT,0.198938569021,2026-05-12
G4740B105,KYG4740B1059,Ichor Holdings Ltd,VGT,0.031806253946,2026-05-12
G6331P104,BMG6331P1041,Alpha & Omega Semiconductor Ltd,VGT,0.010454371485,2026-05-12
G7997R103,IE00BKVD2N49,Seagate Technology Holdings PLC,VGT,0.555836581726,2026-05-12
G87052109,IE000IVNQZ81,TE Connectivity PLC,VGT,0.412554010037,2026-05-12
M6191J100,IL0011684185,JFrog Ltd,VGT,0.076031980373,2026-05-12
M7S64L123,IL0011858912,Pagaya Technologies Ltd,VGT,0.010297891127,2026-05-12
N14506104,NL0013056914,Elastic NV,VGT,0.072577277054,2026-05-12
N6596X109,NL0009538784,NXP Semiconductors NV,VGT,0.370798614758,2026-05-12
Y2573F102,SG9999000020,Flex Ltd,VGT,0.193853264889,2026-05-12
20717M103,US20717M1036,Confluent Inc,VGT,0.151138634636,2026-05-12
68278B107,US68278B1070,Onestream Inc,VGT,0.031148014381,2026-05-12
725ESC016,US725ESC0166,Pivotal Software Inc,VGT,2.29e-09,2026-05-12
81686C104,US81686C1045,SEMrush Holdings Inc,VGT,0.010291445442,2026-05-12
N/A,AU0000185993,Iris Energy Ltd,VGT,0.000328749325,2026-05-12
G037AX101,KYG037AX1015,Ambarella Inc,VGT,0.047295609535,2026-05-12
G1144A105,KYG1144A1058,Bit Digital Inc,VGT,0.000219687773,2026-05-12
G1151C101,IE00B4BNMY34,Accenture PLC,VGT,0.7022504082,2026-05-12
G25457105,KYG254571055,Credo Technology Group Holding Ltd,VGT,0.138583436513,2026-05-12
G3323L100,KYG3323L1005,Fabrinet,VGT,0.198938569021,2026-05-12
G4740B105,KYG4740B1059,Ichor Holdings Ltd,VGT,0.031806253946,2026-05-12
G6331P104,BMG6331P1041,Alpha & Omega Semiconductor Ltd,VGT,0.010454371485,2026-05-12
G7997R103,IE00BKVD2N49,Seagate Technology Holdings PLC,VGT,0.555836581726,2026-05-12
G87052109,IE000IVNQZ81,TE Connectivity PLC,VGT,0.412554010037,2026-05-12
M6191J100,IL0011684185,JFrog Ltd,VGT,0.076031980373,2026-05-12
M7S64L123,IL0011858912,Pagaya Technologies Ltd,VGT,0.010297891127,2026-05-12
N14506104,NL0013056914,Elastic NV,VGT,0.072577277054,2026-05-12
N6596X109,NL0009538784,NXP Semiconductors NV,VGT,0.370798614758,2026-05-12
Y2573F102,SG9999000020,Flex Ltd,VGT,0.193853264889,2026-05-12
